id,item
12,D_0
16,D_1
18,D_2
21,D_3
24,D_1
25,D_4
28,D_1
31,D_5
70,D_6
148,D_7
152,D_1
154,D_8
162,D_1
167,D_9
171,D_10
191,"D_4,D_1"
194,D_1
260,D_1
280,D_11
316,D_12
322,D_13
327,D_1
329,D_14
338,D_1
347,D_15
382,D_7
426,D_0
432,D_16
433,"D_17,D_9,D_0"
434,"D_0,D_2"
435,"D_1,D_18,D_2,D_7"
436,"D_9,D_17"
440,D_0
443,"D_17,D_19,D_15,D_13,D_26"
449,D_0
451,"D_3,D_7"
457,"D_20,D_0"
462,D_11
481,D_7
484,D_23
485,D_0
490,D_24
506,"D_17,D_27"
512,D_23
513,"D_23,D_0"
516,D_0
525,D_3
534,D_17
538,D_10
546,D_8
548,D_3
549,D_8
551,"D_9,D_4"
556,D_1
563,"D_9,D_0,D_4,D_28"
567,"D_11,D_29"
570,"D_16,D_11,D_28"
576,"D_5,D_7"
579,"D_15,D_8"
588,D_0
593,D_0
597,D_1
602,D_1
608,D_5
610,D_2
613,D_9
615,D_15
616,D_17
619,D_21
633,D_15
635,D_15
651,D_27
658,D_7
666,D_7
670,D_7
671,D_24
679,"D_0,D_24"
681,D_24
687,D_24
701,D_24
703,D_24
711,"D_4,D_24"
712,"D_18,D_24,D_7"
713,D_24
714,D_24
717,D_23
718,D_0
720,D_0
723,D_0
737,D_2
739,"D_23,D_0,D_1"
743,D_0
744,D_1
749,"D_19,D_1"
751,D_0
752,"D_17,D_0"
764,D_5
771,D_23
777,D_23
778,"D_3,D_1"
784,"D_5,D_1"
795,D_17
796,D_17
797,D_3
814,D_15
823,D_24
834,D_24
840,"D_2,D_26"
845,"D_22,D_26"
850,D_7
851,"D_18,D_25,D_24"
853,D_24
854,D_24
857,D_23
863,D_23
872,D_11
890,"D_16,D_11"
893,D_0
899,D_0
929,D_21
938,D_3
958,D_26
968,D_28
977,D_24
984,D_24
988,D_24
991,D_24
993,D_24
994,D_24
998,D_24
1002,D_26
1004,D_26
1014,D_2
1023,D_2
1024,"D_15,D_1"
1030,D_11
1045,D_21
1047,D_3
1080,D_24
1092,D_24
1094,D_24
1100,D_24
1104,D_24
1105,D_24
1106,"D_15,D_26"
1107,D_4
1131,D_10
1132,D_15
1156,D_3
1193,D_24
1199,"D_11,D_26"
1205,D_11
1270,D_24
1309,D_26
1311,D_24
1323,"D_23,D_30"
1324,"D_17,D_7"
1328,D_7
1338,D_7
1343,D_7
1349,D_26
1354,"D_14,D_26"
1356,D_11
1400,D_23
1420,D_21
1427,D_15
1443,D_11
1448,D_24
1478,D_26
1489,D_3
1521,D_3
1534,D_1
1541,D_3
1551,D_9
1555,D_3
1556,D_3
1557,D_2
1558,"D_1,D_10"
1559,D_10
1560,"D_1,D_1,D_10"
1561,D_10
1562,D_10
1563,D_8
1683,D_1
1689,D_1
1690,D_1
1692,D_1
1699,"D_1,D_5"
1724,D_27
1727,D_2
1751,D_7
1835,D_11
1841,D_23
1858,D_8
1866,"D_1,D_10"
1896,D_31
1904,D_0
1908,D_9
1935,D_7
1985,D_7
2003,D_23
2016,D_32
2043,D_1
2078,D_0
2086,D_1
2140,D_1
2166,D_0
2179,"D_12,D_10"
2189,D_33
2200,D_1
2222,D_0
2223,D_7
2232,D_0
2241,D_6
2250,D_11
2252,D_10
2261,D_10
2267,D_11
2297,D_32
2303,D_1
2305,D_21
2307,D_23
2317,D_9
2319,D_0
2320,D_1
2322,"D_11,D_7"
2323,D_11
2326,"D_11,D_7"
2333,D_3
2354,D_34
2360,D_7
2362,D_32
2369,D_26
2372,"D_11,D_2"
2393,D_1
2394,"D_7,D_11"
2409,D_32
2436,D_16
2443,D_16
2448,D_6
2454,D_1
2456,D_23
2458,D_28
2468,D_0
2476,D_16
2480,D_35
2484,D_0
2488,D_16
2513,D_4
2517,D_0
2519,D_35
2521,D_36
2522,"D_2,D_1"
2533,D_0
2535,D_23
2537,D_0
2541,D_0
2542,D_0
2544,D_0
2547,"D_1,D_1"
2548,D_7
2550,D_37
2552,D_0
2553,"D_2,D_13"
2558,"D_17,D_38"
2559,D_39
2578,D_1
2579,D_1
2580,D_0
2581,D_16
2605,"D_27,D_7"
2610,D_0
2611,D_11
2615,"D_0,D_1"
2622,"D_7,D_38,D_17,D_1"
2623,D_7
2625,"D_1,D_26"
2626,D_10
2627,D_0
2628,"D_31,D_10,D_26"
2629,D_0
2630,D_15
2639,D_40
2641,"D_35,D_26"
2650,"D_36,D_29,D_13"
2653,D_0
2669,D_24
2670,D_7
2671,"D_35,D_7"
2672,D_0
2673,"D_6,D_38"
2675,D_1
2678,D_0
2688,"D_0,D_4"
2690,D_0
2694,D_6
2701,D_0
2718,D_1
2719,D_10
2720,D_6
2721,"D_0,D_4"
2723,D_0
2725,D_0
2745,D_10
2752,D_23
2760,"D_12,D_7"
2763,D_23
2765,D_31
2771,D_10
2774,D_2
2779,D_26
2783,"D_1,D_1,D_26"
2787,D_10
2792,D_0
2805,D_35
2806,D_35
2808,D_10
2809,D_23
2810,"D_23,D_41,D_0"
2811,D_23
2812,D_23
2813,D_23
2814,D_23
2815,"D_23,D_0"
2817,D_10
2819,"D_10,D_1"
2821,"D_0,D_36,D_1,D_1"
2823,D_4
2832,D_35
2835,D_0
2839,D_42
2848,D_4
2851,"D_16,D_11"
2858,D_4
2859,D_6
2862,D_1
2863,D_6
2864,D_23
2868,D_23
2869,D_23
2870,D_40
2883,D_11
2889,D_24
2893,D_0
2899,D_24
2900,D_31
2920,D_1
2921,D_26
2926,"D_6,D_26"
2933,D_11
2938,D_43
2945,D_44
2952,D_9
2954,"D_16,D_11"
2958,D_7
2969,D_7
2975,D_7
2977,"D_1,D_1"
2988,D_23
2994,D_31
2996,"D_0,D_4,D_1,D_7"
2998,D_0
3001,D_0
3005,D_0
3007,D_28
3008,D_7
3018,D_1
3027,D_23
3037,D_7
3041,D_10
3052,D_32
3057,D_6
3058,"D_13,D_17"
3061,D_0
3063,D_23
3070,"D_39,D_45,D_3"
3072,"D_15,D_7"
3076,D_0
3079,D_4
3080,"D_1,D_2"
3082,D_1
3085,D_10
3086,"D_31,D_10"
3092,D_2
3093,"D_18,D_7"
3094,D_44
3098,D_1
3101,D_46
3102,D_38
3103,"D_10,D_1"
3106,D_1
3112,D_10
3117,D_16
3121,D_1
3131,"D_0,D_1,D_28"
3133,D_16
3134,D_3
3135,"D_23,D_41"
3142,D_27
3147,D_19
3155,"D_23,D_0"
3157,"D_23,D_0"
3159,"D_23,D_0"
3160,"D_23,D_0"
3162,"D_23,D_0"
3163,D_23
3166,"D_23,D_0"
3168,"D_23,D_12"
3169,"D_23,D_0"
3177,D_0
3179,D_0
3180,D_0
3190,D_39
3198,D_0
3199,D_15
3201,D_0
3209,"D_0,D_2"
3220,D_27
3226,D_11
3229,"D_2,D_39"
3255,"D_47,D_38"
3261,D_0
3270,"D_48,D_49,D_2,D_9,D_28"
3271,D_47
3280,D_27
3284,D_55
3290,D_50
3314,"D_19,D_15"
3320,D_0
3323,"D_51,D_9"
3327,D_52
3332,"D_4,D_53,D_10"
3334,D_0
3335,D_0
3337,D_54
3338,D_27
3351,D_50
3361,D_39
3377,D_2
3378,D_4
3379,D_0
3397,D_16
3401,D_4
3415,D_4
3416,D_4
3418,D_4
3419,D_4
3425,D_0
3426,D_28
3435,D_55
3440,D_27
3445,D_19
3453,D_6
3467,D_27
3485,D_7
3522,D_10
3524,D_28
3525,D_56
3526,D_12
3532,D_0
3541,"D_30,D_36"
3544,D_12
3545,D_10
3554,D_55
3556,"D_10,D_7"
3560,D_2
3570,D_7
3571,"D_50,D_4"
3578,D_8
3579,"D_12,D_0,D_8,D_35"
3584,D_36
3588,"D_0,D_35"
3590,"D_52,D_7"
3591,D_4
3593,D_4
3600,D_53
3601,D_57
3607,D_41
3609,D_11
3618,D_55
3632,D_4
3634,D_27
3636,D_57
3642,D_56
3643,D_11
3648,D_2
3649,D_38
3650,"D_2,D_28"
3652,D_41
3656,"D_57,D_4"
3660,D_50
3661,D_2
3667,D_27
3668,D_54
3674,D_0
3676,D_4
3686,D_0
3688,D_27
3690,D_0
3694,D_58
3698,D_41
3700,D_41
3703,"D_11,D_7,D_50"
3716,D_4
3721,D_0
3722,D_4
3723,D_28
3726,D_50
3728,D_4
3732,D_0
3734,D_0
3744,D_10
3750,D_49
3752,"D_4,D_59"
3756,D_4
3760,D_7
3765,D_0
3769,D_59
3772,D_11
3774,D_49
3778,D_23
3781,D_11
3782,D_49
3789,D_50
3795,D_11
3796,D_19
3809,D_28
3814,D_49
3822,"D_27,D_56"
3832,D_27
3833,D_27
3835,D_0
3868,D_4
3871,D_4
3873,D_4
3884,"D_7,D_53"
3888,D_56
3899,D_6
3903,D_6
3906,D_6
3912,"D_7,D_10,D_36,D_25"
3913,"D_56,D_57,D_59,D_4,D_39"
3914,"D_49,D_57"
3916,D_54
3926,"D_4,D_39"
3927,D_6
3934,D_0
3941,"D_6,D_54"
3945,D_27
3961,D_60
3963,"D_41,D_27"
3965,D_6
3968,"D_7,D_10"
3970,D_4
3981,D_49
3991,D_54
4003,"D_7,D_10"
4008,D_35
4009,D_27
4022,D_27
4023,D_7
4032,D_0
4033,D_27
4042,D_49
4049,D_10
4053,D_35
4056,"D_23,D_41"
4062,D_4
4081,D_53
4082,D_50
4083,D_7
4098,"D_7,D_49"
4105,D_7
4119,D_52
4125,D_0
4131,D_56
4133,D_56
4141,D_7
4145,D_0
4146,D_0
4153,D_0
4156,D_49
4171,D_4
4175,"D_36,D_60"
4177,D_61
4185,D_27
4190,D_27
4192,"D_0,D_27"
4193,D_39
4196,"D_24,D_27"
4198,D_54
4203,D_27
4215,D_27
4218,D_56
4234,D_28
4243,"D_56,D_50"
4247,D_28
4248,D_27
4249,D_27
4251,"D_27,D_4,D_55"
4257,D_8
4258,D_7
4260,D_62
4261,D_50
